Item_Identifier,Item_Weight,Item_Visibility,Item_MRP,Outlet_Identifier,Item_Outlet_Sales,Item_Visibility_MeanRatio,Outlet_Years,Item_Fat_Content_0,Item_Fat_Content_1,Item_Fat_Content_2,Outlet_Location_Type_0,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Size_0,Outlet_Size_1,Outlet_Size_2,Outlet_Type_0,Outlet_Type_1,Outlet_Type_2,Outlet_Type_3,Item_Type_Combined_0,Item_Type_Combined_1,Item_Type_Combined_2,Outlet_0,Outlet_1,Outlet_2,Outlet_3,Outlet_4,Outlet_5,Outlet_6,Outlet_7,Outlet_8,Outlet_9
NCP18,12.85764518413616,0.028459761,149.9708,OUT027,4363.6532,0.9939815463645768,28,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
FDB56,8.75,0.07462720099999999,187.8556,OUT046,1314.2892,1.1653779385260459,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDD10,12.85764518413616,0.045797829000000005,178.5344,OUT027,2854.9504,1.0428486655575557,28,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDW57,8.31,0.11585722300000001,179.1028,OUT049,3896.2616,1.2477905387444859,14,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDP09,19.75,0.034027909,212.0902,OUT018,3185.853,0.8728846682169278,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDH14,17.1,0.046769599999999995,141.1838,OUT013,2247.7408,0.8293743935342627,26,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDA47,10.5,0.11657670199999999,163.121,OUT013,1794.3310000000001,1.198029722826489,26,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDG12,6.635,0.004224196666666667,121.3098,OUT045,2530.7058,1.0,11,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
DRE60,12.85764518413616,0.278974075,225.372,OUT019,679.1160000000001,1.554236934407836,28,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
DRK49,14.15,0.035913805,41.4138,OUT013,812.2760000000001,1.1654340908136664,26,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
FDD03,13.3,0.079806266,232.53,OUT046,699.09,0.9982612829610847,16,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDS52,8.89,0.005505481,102.4016,OUT017,2732.4432,0.8530289760479388,6,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDW39,12.85764518413616,0.064625342,176.937,OUT019,176.437,1.8270234176091389,28,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDV11,9.1,0.07503556575,173.2054,OUT045,3151.8972,1.0,11,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDD17,7.5,0.032677677999999995,239.0906,OUT049,5942.265,1.0491875458900233,14,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDZ46,7.485,0.06911065,109.0228,OUT035,2542.0244,0.997045204761887,9,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
DRA12,11.6,0.041177505,140.3154,OUT017,2552.6772,1.2885616761980008,6,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
FDY58,11.65,0.040081193,227.0694,OUT018,1141.847,1.000310840835566,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
NCF19,13.0,0.035307322,47.5034,OUT017,680.4476,0.8737352885509778,6,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
DRJ13,12.65,0.063017847,159.0578,OUT045,2085.9514,0.8994150084567096,11,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
FDB14,20.25,0.171938781,92.512,OUT010,186.424,1.7553261366522466,15,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
FDJ38,8.6,0.040197932,190.153,OUT035,3036.048,0.9981035677346621,9,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDW11,12.6,0.049058014000000004,62.7194,OUT017,866.8716,1.0045293329709675,6,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDL40,17.7,0.01161096,95.041,OUT035,868.8689999999999,1.0486427836891896,9,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
DRI49,14.15,0.183507295,82.4276,OUT046,1137.1864,0.9985240537514383,16,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
FDV38,19.25,0.102349519,52.7956,OUT017,928.1252,0.8676004642120854,6,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
DRG23,8.88,0.08670898699999999,151.7682,OUT013,762.341,1.1661391319394203,26,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
NCH54,13.5,0.07266912,160.292,OUT046,1438.128,0.8082214567844889,16,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
NCR53,12.85764518413616,0.144338493,224.4404,OUT027,6976.2524,0.9387826425518622,28,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
FDS52,8.89,0.009163216,101.7016,OUT010,101.2016,1.4197649145980324,15,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
FDG02,7.855,0.011307038,188.5188,OUT018,952.0939999999999,0.8722339603949568,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
NCO26,7.235,0.076855628,116.0492,OUT046,1969.4364,0.9986322230840355,16,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
FDH35,12.85764518413616,0.059956876,165.4526,OUT027,5262.4832,1.0520874038431618,28,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDB51,6.92,0.038532062,60.5852,OUT045,1314.2892,1.0002381398116789,11,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDX44,9.3,0.043209581,90.8172,OUT017,535.3032,1.0047486362989948,6,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
NCN07,18.5,0.056816465,132.1284,OUT010,263.6568,1.5255089605772434,15,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
NCC31,8.02,0.019866705,154.5972,OUT035,1402.1748,1.0881819803382144,9,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
NCX54,9.195,0.048331717,105.1622,OUT017,1693.7952,0.9168523734212936,6,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
NCO55,12.8,0.091221855,105.5938,OUT045,2143.876,0.7796761014753127,11,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
NCC30,16.6,0.027622076000000002,177.6344,OUT049,2676.5159999999996,0.882531507217872,14,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
FDP16,18.6,0.039355947,246.3802,OUT049,7370.406,0.8808625329084494,14,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
NCB06,17.6,0.082316506,160.692,OUT035,1597.92,0.8811099613784078,9,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
FDA45,21.25,0.155350299,178.237,OUT035,529.311,0.9997633612623326,9,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
NCO26,7.235,0.076841095,117.5492,OUT035,1969.4364,0.9984433869184124,9,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
DRJ25,14.6,0.151419185,50.3692,OUT017,1034.6532,1.0023204999570055,6,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
FDR28,13.85,0.026001976,161.52100000000002,OUT018,1794.3310000000001,1.0018503386019926,4,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDI04,13.65,0.073209447,197.6426,OUT018,2768.3964,0.9067754473476878,4,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
DRK12,12.85764518413616,0.041683481,31.29,OUT027,898.83,1.1361138330787153,28,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
DRD24,13.85,0.030969273999999998,140.9154,OUT017,1701.7848,0.9166849265840111,6,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
FDM22,14.0,0.04192285,54.763999999999996,OUT013,1331.6,0.8422898483779423,26,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDR07,12.85764518413616,0.077367431,97.0094,OUT027,1808.9786,0.7339058770268426,28,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDV25,5.905,0.045838211,222.5456,OUT018,3315.684,1.055660086257612,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
DRF49,7.27,0.071077939,114.2518,OUT046,2618.5914,0.8877922170232116,16,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
FDP25,15.2,0.021327477,216.8824,OUT017,2838.9712,0.8675312528078218,6,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
NCB30,12.85764518413616,0.025578526,198.8084,OUT027,5555.4352,0.8270120776541009,28,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
FDW11,12.6,0.048980800000000005,61.9194,OUT018,619.194,1.0029482716602502,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
NCM43,14.5,0.019471688,164.821,OUT035,2120.573,0.8307595884789992,9,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
FDK44,16.6,0.122918852,173.0738,OUT017,3823.0236,1.2562373759586356,6,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDM15,11.8,0.057373797000000004,151.4366,OUT013,1360.2294,0.9983272047745854,26,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDS31,13.1,0.044155597000000005,178.8318,OUT013,3969.4996,1.3987155495239187,26,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDR47,17.85,0.07008762299999999,196.5794,OUT010,585.2382,1.0,15,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
